aid	title	date	v1_utc	v1_raw	score	cats	source	summary	norm_title
2608.11580	RoadWeaver: Large-Scale Lane-Level HD Map Generation from Scratch for Autonomous Driving Simulation	2026-08-12	2026-08-12T00:00:00Z	12 Aug 2026	34	Robotics Artificial Intelligence Robotics Artificial Intelligence Systems and Control Artificial Intelligence Robotics Computer Vision and Pattern Recognition Robotics Computer Vision and Pattern Recognition Robotics Robotics Computer Vision and Pattern Recognition Artificial Intelligence Artificial Intelligence Computer Vision and Pattern Recognition Robotics Computer Vision and Pattern Recognition Software Engineering Robotics Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Artificial Intelligence Computer Vision and Pattern Recognition Robotics Robotics Computer Vision and Pattern Recognition Robotics Artificial Intelligence Computer Vision and Pattern Recognition Robotics Computer Vision and Pattern Recognition Robotics Robotics Robotics Artificial Intelligence Computation and Language Artificial Intelligence Computational Finance Robotics Artificial Intelligence Computers and Society Computer Vision and Pattern Recognition Artificial Intelligence Software Engineering Computer Vision and Pattern Recognition Artificial Intelligence Computer Vision and Pattern Recognition Machine Learning Cryptography and Security Computer Vision and Pattern Recognition Artificial Intelligence Materials Science Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Robotics Computer Vision and Pattern Recognition Artificial Intelligence Robotics Machine Learning Information Theory Computer Science and Game Theory Signal Processing Computer Vision and Pattern Recognition Artificial Intelligence Machine Learning Robotics Software Engineering Audio and Speech Processing Sound Signal Processing Instrumentation and Detectors Graphics Artificial Intelligence Computer Vision and Pattern Recognition Machine Learning Information Theory Robotics Software Engineering Image and Video Processing Robotics Systems and Control Distributed, Parallel, and Cluster Computing Artificial Intelligence Robotics Machine Learning Robotics Computer Vision and Pattern Recognition Robotics	html:q3	Autonomous	roadweaver large scale lane level hd map generation from scratch for autonomous driving simulation
2608.12051	Do Not Forget the Obvious - RISC: A Risk-Informed Slice-Coverage Protocol for Safe Autonomous Driving	2026-08-12	2026-08-12T00:00:00Z	12 Aug 2026	32	Computer Vision and Pattern Recognition Soft Condensed Matter Statistical Mechanics Machine Learning Robotics Artificial Intelligence Robotics Artificial Intelligence Systems and Control Artificial Intelligence Computer Vision and Pattern Recognition Robotics Computer Vision and Pattern Recognition Artificial Intelligence Computer Vision and Pattern Recognition Artificial Intelligence Machine Learning Robotics Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Computer Science and Game Theory Multiagent Systems Theoretical Economics Optimization and Control Robotics Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Robotics Robotics Artificial Intelligence Systems and Control Robotics Computer Vision and Pattern Recognition Human-Computer Interaction Machine Learning Robotics Artificial Intelligence Systems and Control Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Artificial Intelligence Robotics Systems and Control Artificial Intelligence Computer Vision and Pattern Recognition Robotics Computer Vision and Pattern Recognition Artificial Intelligence Robotics Computer Vision and Pattern Recognition Artificial Intelligence Multiagent Systems Computer Vision and Pattern Recognition Robotics Computer Vision and Pattern Recognition Databases Artificial Intelligence Systems and Control Artificial Intelligence Software Engineering Physics and Society Machine Learning Robotics Multimedia Computer Vision and Pattern Recognition Computation and Language Computer Vision and Pattern Recognition Robotics Computer Vision and Pattern Recognition Emerging Technologies Artificial Intelligence Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Artificial Intelligence Computer Vision and Pattern Recognition Multiagent Systems Computer Vision and Pattern Recognition Chaotic Dynamics Soft Condensed Matter	html:q1	Aggregate metrics may not fully reflect performance in insufficiently examined high-risk driving	do not forget the obvious risc a risk informed slice coverage protocol for safe autonomous driving
2608.11790	High-Order Liquid Evidence Encoding for Gradual GNSS Spoofing Detection in Autonomous Driving	2026-08-12	2026-08-12T00:00:00Z	12 Aug 2026	12	Machine Learning Artificial Intelligence Machine Learning Robotics Computer Vision and Pattern Recognition Robotics Artificial Intelligence Computer Vision and Pattern Recognition Databases Artificial Intelligence Systems and Control Robotics Computer Vision and Pattern Recognition Computation and Language Computer Vision and Pattern Recognition Artificial Intelligence Computer Vision and Pattern Recognition Artificial Intelligence Computer Vision and Pattern Recognition Systems and Control Robotics Computer Vision and Pattern Recognition Artificial Intelligence Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Robotics Artificial Intelligence Robotics Artificial Intelligence Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Machine Learning Computer Vision and Pattern Recognition Artificial Intelligence Computer Vision and Pattern Recognition Cryptography and Security Computer Vision and Pattern Recognition Artificial Intelligence Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Robotics Image and Video Processing Computer Vision and Pattern Recognition Artificial Intelligence Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Robotics Robotics Computer Vision and Pattern Recognition Robotics Computer Vision and Pattern Recognition Software Engineering Graphics Artificial Intelligence Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Robotics Robotics Robotics Robotics Machine Learning Artificial Intelligence Robotics Computer Vision and Pattern Recognition Artificial Intelligence Machine Learning Robotics Artificial Intelligence Robotics Machine Learning	html:q10	Accurate Global Navigation Satellite System (GNSS)-based localization is essential for safe and reliable autonomous	high order liquid evidence encoding for gradual gnss spoofing detection in autonomous driving
2608.11451	Herding End-to-End Autonomous Driving via Neuro-Symbolic Safety Guards	2026-08-11	2026-08-11T00:00:00Z	11 Aug 2026	62	Robotics Artificial Intelligence Systems and Control Systems and Control Robotics Robotics Robotics Robotics Robotics Systems and Control Robotics Robotics Systems and Control Artificial Intelligence Robotics Systems and Control Robotics Artificial Intelligence Computer Vision and Pattern Recognition Cryptography and Security Software Engineering Networking and Internet Architecture Artificial Intelligence Information Theory Systems and Control Computer Vision and Pattern Recognition Machine Learning Robotics Systems and Control Robotics Systems and Control Robotics Systems and Control Robotics Machine Learning Systems and Control Computer Vision and Pattern Recognition Artificial Intelligence Software Engineering Robotics Robotics Networking and Internet Architecture Machine Learning Numerical Analysis Machine Learning Artificial Intelligence Multiagent Systems Robotics Robotics Optimization and Control Robotics Robotics Robotics Systems and Control Robotics Machine Learning Computer Science and Game Theory Artificial Intelligence Systems and Control Artificial Intelligence Multiagent Systems Robotics Systems and Control Cryptography and Security Artificial Intelligence Systems and Control Systems and Control Artificial Intelligence Multiagent Systems Robotics Machine Learning Artificial Intelligence Machine Learning Artificial Intelligence Robotics Machine Learning Optimization and Control Robotics Optimization and Control Human-Computer Interaction Robotics Networking and Internet Architecture Robotics Robotics Image and Video Processing Computer Vision and Pattern Recognition Systems and Control Cryptography and Security Distributed, Parallel, and Cluster Computing Machine Learning Networking and Internet Architecture	html:q6	Modern end-to-end driving agents can achieve high average performance yet still violate basic traffic rules that a human driver would never miss. The reason is structural: they learn statistical patterns rather than the physical conditions that guarantee safe driving, leaving their decision-making process opaque and safety constraints unenforced. We introduce a neuro-symbolic safety guard, a lightweight module that attaches to the final command interface of an already-trained agent. Immediately before a command reaches the vehicle	herding end to end autonomous driving via neuro symbolic safety guards
2608.10413	DriveVLA-M0: Failure-Aware Memory Augmentation for Autonomous Driving	2026-08-11	2026-08-11T00:00:00Z	11 Aug 2026	49	cs.CV	rss:cs.CV	Vision-Language-Action (VLA) models have recently emerged as a promising paradigm for end-to-end autonomous driving by enabling unified reasoning across perception, language, and planning. However, existing approaches lack mechanisms to exploit past failures or adapt to distribution shifts, causing the model to persistently underperform on similar scenarios where it has previously failed. In this paper, we propose DriveVLA-M0, a retrieval-augmented VLA with failure-aware latent memory. We construct a latent memory pool that stores failure cases along with their structure scene representations and expert trajectory labels, and design a dedicated Retrieve Model that decouples static road structure and dynamic agent interactions to enable structurally grounded retrieval. At inference time, retrieved cases are injected into the model via a lightweight decoupled LoRA-based test-time training (TTT) mechanism, allowing targeted and scenario-specific correction without modifying the backbone. Extensive experiments on NAVSIMv1 and NAVSIMv2 benchmark demonstrate that our approach consistently outperforms prior methods, achieving 94.1 PDMS on Navtest and 47.0 EPDMS on Navhard with only 26.44 ms TTT backward latency overhead. Furthermore, we show that DriveVLA-M0 scales effectively with additional memory, enabling training-free performance gains through memory expansion. The code is available at https://github.com/ZebinX/DriveVLA-M0.	drivevla m0 failure aware memory augmentation for autonomous driving
2608.10449	PBD-AG: Persistent Baseline-Delta Active Graphs with Uncertainty-Aware Inspection for Long-Horizon Service Robots	2026-08-11	2026-08-11T00:00:00Z	11 Aug 2026	39	cs.RO	rss:cs.RO	Long-horizon service robots require persistent world models that can be built autonomously in unseen environments and revised as task-relevant objects change. Existing methods rely on online mapping, which accumulates localization and observation errors, static scene representations that cannot capture persistent object changes, or holistic vision-language predictions that lack verifiable 3D geometric evidence. We present PBD-AG, a persistent baseline-delta active graph framework that decouples robot-verified stable fixtures from revisable dynamic object events. Under our framework, the robot autonomously bootstraps the structural baseline from onboard exploration and inspects discovered fixtures to ground hierarchical object beliefs. PBD-AG maintains reliability-weighted object states over geometry, semantics, identity, existence, and support relations, utilizing a geometric visibility gate to mitigate false deletions under occlusion. Inspection viewpoints are selected by a graph-conditioned policy that balances target coverage, travel cost, collision risk, and redundant observation. Simulation experiments in multiple environments and under controlled dynamic evaluation show higher aggregate coarse-fixture F1 than capability-matched controls, as well as stronger identity continuity and event recall. A qualitative physical-robot demonstration further illustrates integration with onboard sensing, providing a traceable world model for long-horizon robotic perception.The project page of PBD-AG is available at https://shuobao214.github.io/PBD-AG/	pbd ag persistent baseline delta active graphs with uncertainty aware inspection for long horizon service robots
2608.11077	Learning Gaussian Structure: Intervention-Guided Density Control for Feed-Forward Driving Reconstruction	2026-08-11	2026-08-11T00:00:00Z	11 Aug 2026	27	cs.CV	rss:cs.CV	Feed-forward Gaussian reconstruction has recently emerged as an efficient approach for driving scene reconstruction. However, prevailing LiDAR-based methods preserve the initial correspondence between observed points and Gaussian primitives, treating the initialized primitive set as the final representation. Unlike optimization-based 3DGS, these methods cannot accumulate gradients during training to determine how the scenes representation should be densified. Meanwhile, the shared sparse backbone only fuses observations from different timestamps implicitly, without explicitly aggregating cross-time evidence for individual primitives. In this paper, we present Learning Gaussian Structure (LGS), a framework that enhances both Gaussian structure and primitive attributes. Our key observation is that changes in local gradient responses induced by a prune or add intervention reveal whether the corresponding structural adjustment benefits reconstruction. Based on this observation, our Gaussian Densify Policy learns a Densify Map comprising Prune and Addition Scores from controlled interventions, and directly adjusts the Gaussian structure during inference. We further develop a compact Cross-Time Point Query that explicitly retrieves and aggregates neighboring features from Gaussian primitives at other timestamps for reliable attribute prediction. Extensive experiments on the Waymo Open Dataset and PandaSet demonstrate that LGS consistently outperforms existing methods.	learning gaussian structure intervention guided density control for feed forward driving reconstruction
2608.10618	Toward the Cognitive--Physical Limits of Embodied Intelligence through a World-Model-Centric Autonomous Racing Agent	2026-08-11	2026-08-11T00:00:00Z	11 Aug 2026	27	cs.RO	rss:cs.RO	Embodied artificial intelligence aims to develop agents that perceive, reason, and act through continuous interaction with the physical world. However, most embodied systems are still evaluated within conservative safety margins or moderate interaction regimes, leaving their capability boundaries under extreme conditions insufficiently understood. Autonomous racing provides a stringent testbed by combining high-frequency localization and perception, adversarial interaction, near-saturated vehicle dynamics, and strict safety constraints. Existing systems push high-speed performance but rarely model and refine cognitive and physical limits jointly. Here we show that a world-model-centric autonomous racing agent provides a concrete step toward exploring these coupled limits. The framework learns predictive world models from near-limit successes and failures to capture interaction evolution, ego dynamics, and feasible-motion boundaries, coupling world-state construction, future-aware reasoning, and near-limit control in a closed-loop refinement process. Training data were collected from real-vehicle autonomous racing, where the onboard system maintained robust localization and perception at speeds up to 256.3 km/h and peak lateral acceleration of 26.8 m/s$^2$. In full-scale simulated racing, the well trained world-model-centric agent achieves an 88.3% interaction success rate across various challenging simulated racing scenarios. Closed-loop refinement of the world model and policy further improved utilization of cognitive-physical limits, recovery from failure modes, and generalization across varying conditions and unseen circuits. These results suggest a boundary-aware methodology in which world models help embodied agents represent, predict, and continually refine their capability boundaries for safer real-world deployment.	toward the cognitive physical limits of embodied intelligence through a world model centric autonomous racing agent
2608.10864	Multi-View Relational Distillation for Spatial Reasoning with Vision-Language Models	2026-08-11	2026-08-11T00:00:00Z	11 Aug 2026	23	cs.CV	rss:cs.CV	Vision-language models (VLMs) have achieved strong image and video understanding, yet their visual-spatial representations remain geometrically fragile, leading to failures in spatial reasoning needed for embodied AI, robotics, and autonomous driving. Prior approaches to geometry grounding either fine-tune VLMs on spatial question answering, which can perpetuate spurious visual representations, or fuse features from large geometry-grounded vision models, which substantially increases model size at inference. Knowledge distillation from geometry-grounded vision models offers an alternative, but directly matching multi-view teacher features can disrupt the pretrained alignment between visual and textual representations, degrading object- and language-semantic capabilities. We propose multi-view relational distillation (MVRD), which distills patch-wise cosine similarities across views instead of the teacher features themselves. These relations encode geometric correspondences adequate for spatial understanding, while leaving the student representation underdetermined, allowing it to remain close to its pretrained vision- language space. Across representative VLMs, MVRD improves visual-spatial reasoning, outperforming supervised fine-tuning and feature distillation while approaching feature fusion methods with considerably fewer added parameters and lower latency. We show that MVRD makes visual representations more geometric while retaining language alignment, and generalizes to 3D scene understanding tasks such as object grounding, dense captioning, and question answering.	multi view relational distillation for spatial reasoning with vision language models
2608.10660	Cross-View Sequential Visual Localization with Spatio-Temporal Context Modeling for Autonomous Driving	2026-08-11	2026-08-11T00:00:00Z	11 Aug 2026	17	cs.CV	rss:cs.CV	Continuous and reliable localization is essential for autonomous driving. Cross-view visual localization matches ground images with satellite maps, providing complementary localization cues for pipelines that depend on Global Navigation Satellite System (GNSS) signals and high-definition (HD) maps. Most existing cross-view visual localization methods process each frame independently, leaving temporal information underused and limiting accuracy under dynamic occlusion, illumination variation, and repetitive textures. This study proposes a temporal-context-enhanced framework for cross-view sequence visual localization. The proposed recurrent cross-frame module aggregates historical context from the previous state to enhance the coarse ground feature of each current frame. These enhanced features facilitate satellite candidate-region classification, while hierarchical fine-grained features enable precise local offset estimation. On the CVIS dataset, the proposed method reduces mean localization error from 3.80 m to 1.57 m and increases R@1 m from 8.14% to 40.22%. Direct transfer to KITTI-CVL achieves a mean error of 2.61 m, with target-domain fine-tuning further reducing the mean error to 2.27 m. Zero-shot field experiments on a real-world vehicle achieve a mean error of 2.84 m and R@5 m of 96.86%. These results demonstrate that temporal context enhancement significantly improves cross-view localization accuracy and supports robust deployment on public benchmarks and real-world roads.	cross view sequential visual localization with spatio temporal context modeling for autonomous driving
