aid	title	date	v1_utc	v1_raw	submitted_on	score	cats	source	summary	norm_title
2608.15573	Not All History Helps: Velocity-Aware Selective Memory for Long-Horizon End-to-End Autonomous Driving	2026-08-16	2026-08-16T00:00:00Z		16 Aug 2026	42	Robotics High Energy Astrophysical Phenomena General Relativity and Quantum Cosmology Computer Vision and Pattern Recognition Artificial Intelligence Cryptography and Security Artificial Intelligence Multiagent Systems Quantum Physics Mathematical Physics Artificial Intelligence Machine Learning Software Engineering Computer Vision and Pattern Recognition Machine Learning Artificial Intelligence Computation and Language Computer Vision and Pattern Recognition Artificial Intelligence Computation and Language Robotics Computer Vision and Pattern Recognition Optics Instrumentation and Methods for Astrophysics Solar and Stellar Astrophysics Plasma Physics Space Physics Multiagent Systems Robotics Computation and Language Artificial Intelligence Physics and Society General Economics Optics Medical Physics Soft Condensed Matter Statistical Mechanics Computer Vision and Pattern Recognition Optics Optics Machine Learning Artificial Intelligence Sound Artificial Intelligence Machine Learning Artificial Intelligence Artificial Intelligence Software Engineering Mesoscale and Nanoscale Physics Artificial Intelligence Quantum Physics Statistical Mechanics Plasma Physics Space Physics Computer Vision and Pattern Recognition Software Engineering Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Chemical Physics Astrophysics of Galaxies Atomic and Molecular Clusters Strongly Correlated Electrons High Energy Physics - Theory Quantum Physics Artificial Intelligence Materials Science Machine Learning Computer Vision and Pattern Recognition Artificial Intelligence Computation and Language Multiagent Systems High Energy Physics - Phenomenology Cosmology and Nongalactic Astrophysics High Energy Physics - Theory Soft Condensed Matter General Relativity and Quantum Cosmology High Energy Physics - Theory Software Engineering Computers and Society Artificial Intelligence Plasma Physics Accelerator Physics Nuclear Theory	html:q2	Reliable long-horizon planning remains a key challenge in end-to-end autonomous driving	not all history helps velocity aware selective memory for long horizon end to end autonomous driving
2608.15437	MM-BEV: Enhancing Timeliness by Computing Where and When it Matters	2026-08-15	2026-08-15T00:00:00Z		15 Aug 2026	18	Robotics Computer Vision and Pattern Recognition Distributed, Parallel, and Cluster Computing Systems and Control Computer Vision and Pattern Recognition Computer Vision and Pattern Recognition Artificial Intelligence Machine Learning Robotics Systems and Control Robotics Robotics Machine Learning Robotics Systems and Control Software Engineering Cryptography and Security Machine Learning Machine Learning Multiagent Systems Networking and Internet Architecture Robotics Artificial Intelligence Systems and Control Systems and Control Robotics Robotics Robotics Robotics Robotics Systems and Control Robotics Robotics Systems and Control Artificial Intelligence Robotics Systems and Control Robotics Artificial Intelligence Computer Vision and Pattern Recognition Cryptography and Security Software Engineering Networking and Internet Architecture Artificial Intelligence Information Theory Systems and Control Computer Vision and Pattern Recognition Machine Learning Robotics Systems and Control Robotics Systems and Control Robotics Systems and Control Robotics Machine Learning Systems and Control Computer Vision and Pattern Recognition Artificial Intelligence Software Engineering Robotics Robotics Networking and Internet Architecture Machine Learning Numerical Analysis Machine Learning Artificial Intelligence Multiagent Systems Robotics Robotics Optimization and Control Robotics Robotics Robotics Systems and Control Robotics Machine Learning Computer Science and Game Theory Artificial Intelligence Systems and Control Artificial Intelligence Multiagent Systems Robotics Systems and Control Cryptography and Security Artificial Intelligence Systems and Control Systems and Control Artificial Intelligence Multiagent Systems Robotics Machine Learning Artificial Intelligence Machine Learning Artificial Intelligence Robotics Machine Learning	html:q6	Multimodal bird's-eye-view (BEV) perception combines LiDAR depth accuracy with dense camera semantics, but its high computational cost and imperfect sensing conditions make real-time deployment challenging. Existing methods largely compress individual detectors and overlook three opportunities: structured sparsity within camera and LiDAR inputs, timing misalignment between modalities, and the fact that many detected objects do not affect the planner's immediate action. We present MM-BEV, a real-time multimodal BEV system guided by a simple principle: compute where and when it matters. MM-BEV divides perception into mandatory work for safety-critical objects within braking distance of the ego vehicle	mm bev enhancing timeliness by computing where and when it matters
2608.14024	SSP: An Event-Matched Syn2Sim2Phy Cross-Domain Evaluation Framework for Autonomous Driving VLA Models	2026-08-14	2026-08-14T00:00:00Z		14 Aug 2026	37	cs.CV	rss:cs.CV	Vision-language-action (VLA) models for autonomous driving jointly produce scene interpretation, language-based reasoning, and driving trajectories. Existing evaluations often use independently selected synthetic, simulated, and physical data, so measured performance gaps can be confounded by changes in scenario content rather than genuine domain sensitivity. We propose SSP (Synthetic-Simulation-Physical), an event-matched Syn2Sim2Phy evaluation framework that anchors cross-domain comparison to the same safety-critical interaction. Starting from a synthetic long-tail video, SSP builds a validated event specification that preserves road topology, participant roles, relative motion, conflict evolution, passing order, response constraints, and event phases. Platform-specific realizations are then constructed in CARLA and on a closed proving ground and are evaluated only after transfer audits confirm preservation of mandatory event properties. SSP maps heterogeneous outputs from OpenEMMA, LLaViDA, and Alpamayo-R1 into common semantic slots and a 1 s trajectory window to assess output validity, semantic accuracy, critical-interaction recognition, trajectory quality, and risk response. Across Cut-in and vulnerable-road-user crossing cases, the macro-averaged Integrated VLA Capability Scores are 0.259, 0.291, and 0.325 in the Synthetic, Simulation, and Physical domains, respectively, while the best domain varies by scenario. Alpamayo-R1, OpenEMMA, and LLaViDA obtain scores of 0.405, 0.338, and 0.131. SSP provides a reproducible scene-transfer chain and an evidence-qualified evaluation of VLA behavior without assuming that the Physical domain is universally superior.	ssp an event matched syn2sim2phy cross domain evaluation framework for autonomous driving vla models
2608.14448	Control-Informed Constraint Adaptation in Minimum-Time Trajectory Planning for Autonomous Racing	2026-08-14	2026-08-14T00:00:00Z		14 Aug 2026	29	cs.RO	rss:cs.RO	Autonomous racecars operate at the limits of vehicle dynamics, where small control errors translate into safety-critical behavior and lost performance. Trajectory planners assume perfect tracking and remain blind to execution errors. To guarantee safety, trajectory planners therefore restrict themselves to conservative spatial margins, leaving usable track space untapped. To overcome these issues, we introduce a control-informed online trajectory planning framework that learns from its own execution errors. By measuring systematic tracking deviations during runtime, we dynamically adapt spatial track constraints and iteratively expand the free-space planning area. The planner remains time-optimal while compensating for accumulated execution errors. This method was analyzed in a high-fidelity closed-loop simulation environment with autonomous racecars. The results demonstrate that our approach reduces lap time by 1.8\,s without increasing computational burden, maintaining a median runtime of 25 ms. Our finding indicates that feeding control-induced deviations back into the planning layer unlocks performance previously inaccessible to modular architectures and enables autonomous vehicles to exploit track limits systematically.	control informed constraint adaptation in minimum time trajectory planning for autonomous racing
2608.14394	IRGNN: Efficient Invariant Radar Graph Neural Network for Radar Point Cloud Object Detection	2026-08-14	2026-08-14T00:00:00Z		14 Aug 2026	29	cs.CV	rss:cs.CV	Perception is a fundamental component of autonomous driving systems. While LiDAR-based methods have achieved remarkable progress in object detection, their reliability can degrade under adverse weather conditions. Radar point clouds provide a robust alternative due to their resilience to bad weather and low-illumination scenarios. However, radar point clouds are typically sparse, unordered, and less informative than LiDAR data, making it challenging to directly apply existing LiDAR-based perception methods. To address these challenges, we propose IRGNN, an Invariant Radar Graph Neural Network for radar point cloud object detection. IRGNN first reconstructs radar point clouds into graph representations using translation- and rotation-invariant feature designs, enabling robust modeling of sparse radar measurements. It then employs an improved message passing neural network (MPNN) with residual connections and a virtual node layer to enhance local feature propagation and global context modeling. Finally, task-specific heads are applied to the learned graph representations for object classification and bounding box prediction. Experimental results on the RadarScenes dataset show that IRGNN outperforms existing radar-based object detection methods and achieves competitive performance. In addition, IRGNN significantly reduces computational cost and memory usage during inference, demonstrating its effectiveness and practical potential for efficient radar-based perception in autonomous driving.	irgnn efficient invariant radar graph neural network for radar point cloud object detection
2608.14332	CORAL: Curriculum-Optimized Reward Adaptation for LiDAR-Based Goal-Directed Urban Driving	2026-08-14	2026-08-14T00:00:00Z		14 Aug 2026	27	cs.RO	rss:cs.RO	Reinforcement learning is promising for autonomous urban driving, but long-horizon goal-directed navigation asks a policy to acquire several competing behaviors at once--reaching a distant goal, tracking a route, avoiding obstacles, obeying signals--and a fixed objective gives no order in which to learn them. This paper presents CORAL, which advances two schedules together: a five-stage curriculum that progressively lengthens routes and tightens behavioral constraints, and a stage-aware reward whose component weights shift emphasis from mission progress toward route following, safety, smoothness, and rule compliance as the task hardens. The policy is a multi-stream actor-critic network trained with Proximal Policy Optimization (PPO) in CARLA on a compact 99-dimensional state pairing a polar LiDAR histogram with vehicle telemetry, ego-frame route geometry, and traffic-rule indicators--no point-cloud encoder, no bird's-eye-view rasterization. Against two PPO baselines under an identical protocol, CORAL reaches the goal in all twenty evaluation episodes on the longest routes under the full set of behavioral constraints, where the baselines reach 5% and 10%; a factorial ablation shows that neither schedule alone matches their combination: removing either lowers both success and route completion, and disabling both drops success to 55%. Trained in one town, the policy transfers zero-shot to seven unseen towns, succeeding in 68-98% of episodes on routes of the same 100-150 m length, with mean lateral deviation below 0.35 m.	coral curriculum optimized reward adaptation for lidar based goal directed urban driving
2608.14407	The Past and Future of AI Scientists	2026-08-14	2026-08-14T00:00:00Z		14 Aug 2026	21	cs.AI	rss:cs.AI	We present a survey of the past and future of AI Scientists: machines capable of automating science. AI Scientists can originate hypotheses, deduce their consequences, design and execute experiments, interpret their results, and revise their beliefs. Such systems are integrated scientific agents, connected to the literature, formal knowledge, mathematical models, simulations, data-analysis systems and physical laboratories. Adam was the first machine to make novel scientific discoveries through cycles of hypothesis formation and physical experimentation. Eve established the architecture of the modern self-driving laboratory. Foundation models, autonomous agents and laboratory robotics now make it possible to build systems far more general than either Adam or Eve. The central problem is no longer whether individual components of science can be automated. They can. The problem is integration. AI Scientists must combine neural learning with logic, probability, mathematics, causal reasoning, simulation, experimental design, robotics and formal scientific records. AI Scientists have the potential to transform science: to make science faster, cheaper, more systematic and more reproducible. AI Scientists could investigate systems too complicated for unaided human science, and enable thousands of AI scientists to work together on single problems. The Nobel Turing Challenge sets the goal of developing by 2050 AI systems capable of automating Nobel-quality discoveries. Progress is ahead of schedule. When we succeed it will create a new form of science and transform the world.	the past and future of ai scientists
2608.14178	LightTeaNet: A Weakly Supervised Lightweight CNN for Multi-Label Tea Leaf Disease Detection and Localization	2026-08-14	2026-08-14T00:00:00Z		14 Aug 2026	21	cs.CV	rss:cs.CV	Tea is known as an important crop in many parts of South and Southeast Asia, yet the production of tea is still hampered by the multiple diseases that decrease the quantity and quality. Traditional methods of inspection, which are manual, are not consistent, labor-intensive, and depend on extensive monitoring. This paper introduces a lightweight convolutional neural network (CNN) designed for weakly supervised multi-label classification and disease localization in tea leaves called LightTeaNet. LightTeaNet learns directly from image-level labels and employs Class Activation Mapping (CAM) to localize disease-affected regions automatically, unlike conventional object detection models such as YOLO, which require extensive bounding box annotations. For Parameter efficiency, the network integrates Depthwise Separable Convolutions, and for enhanced feature discrimination, it integrates Channel Attention. LightTeaNet has achieved a Precision of 0.9615, a Recall of 0.8772, and an F1-score of 0.9179, while it shows mAP@0.50=0.1810 without any manual annotations, which delivers a competitive localization performance in the experimental results. These results validate the model as an interpretable as well as a resource-efficient framework for intelligent disease monitoring in agriculture.	lightteanet a weakly supervised lightweight cnn for multi label tea leaf disease detection and localization
2608.14125	Traj-LeWM: Path-Aware World-Model Planning via Latent Trajectory Cost	2026-08-14	2026-08-14T00:00:00Z		14 Aug 2026	19	cs.AI	rss:cs.AI	LeWM is a lightweight visual world model that learns latent dynamics end-to-end from pixels and ranks candidate action sequences by the distance between their predicted endpoints and the goal. However, LeWM has two limitations. First, during training, it learns local next-step transitions without evaluating complete trajectories relative to the task goal. Second, during planning, it ranks candidates solely by predicted endpoint distance. Because model predictions may differ from actual execution outcomes, the candidate whose predicted endpoint is closest to the goal may not perform best when executed in the environment. The evolution of the complete predicted trajectory can therefore provide complementary information beyond endpoint distance. To address these limitations, we propose Traj-LeWM, which retains LeWM's local-dynamics objective and endpoint score while introducing a goal-conditioned latent trajectory cost (LTC) that aggregates trajectory-level information as a complementary signal. During training, LTC-based trajectory-preference supervision complements next-step prediction in shaping the shared representation. During planning, LTC is combined with endpoint distance to incorporate intermediate-path information into candidate ranking. With joint endpoint-plus-LTC scoring, Traj-LeWM outperforms LeWM on Push-T, OGBench-Cube, Reacher, and Two-Room by $3$, $14$, $7$, and $7$ percentage points, respectively. Controlled experiments and ablations further verify the complementary roles of trajectory-level representation shaping and path-aware candidate ranking.	traj lewm path aware world model planning via latent trajectory cost
2608.14085	CoDS: Robust Collaborative Perception via Expert-driven Detection and BEV Segmentation	2026-08-14	2026-08-14T00:00:00Z		14 Aug 2026	17	cs.CV	rss:cs.CV	Collaborative perception breaks through single-view limitations via multi-agent information exchange. However, multi-source noise such as pose errors and communication delays degrades fusion feature quality, constraining perception performance. Joint training of detection and BEV segmentation provides a natural remedy, where segmented road regions help constrain target distributions and detection bounding boxes help recover ambiguous segmentation boundaries. To this end, we propose a robust Collaborative perception framework with expert-driven Detection and bev Segmentation (CoDS). To address spatial inconsistency in fusion quality, we first introduce the Collaborative Reliability Map (CoRM) to explicitly quantify feature quality distribution. Based on CoRM, we design the Semantic Mixture-of-Experts (S-MoE) module to extract differentiated features for inconsistent feature demands. Finally, to further mitigate feature noise degradation, the Bidirectional Task Complementary Interaction (BTCI) refines task-aware features through bidirectional injection. Extensive experiments on OPV2V and V2V4Real datasets show that our CoDS surpasses existing baselines on both tasks and maintains stable robustness under multi-source noise. Code: https://github.com/JinlongW128/CoDS and https://openi.pcl.ac.cn/OpenAIDriving/CoDS.	cods robust collaborative perception via expert driven detection and bev segmentation
